name;age;position;minutes_played;nationality;goals;assists;conceded;overall;attack;defense;club
Faustino Marcos Alberto Rojo;29;Defender;211;Argentina;0;0;4;33;51;52;Manchester United
Christian Fuchs;33;Defender;206;Austria;0;0;4;33;51;52;Leicester City
Yoshinori Muto;27;Forward;516;Japan;1;0;10;32;53;35;Newcastle United
Adama Diakhaby;23;Forward;551;France;0;0;16;32;52;34;Huddersfield Town
Lucas Perez;31;Forward;468;Spain;3;0;9;32;55;34;West Ham United
Andriy Yarmolenko;30;Forward;459;Ukraine;2;0;4;32;54;35;West Ham United
Phil Foden;19;Midfielder;327;England;1;0;0;32;52;44;Manchester City
Håvard Nordtveit;29;Midfielder;361;Norway;0;1;9;32;52;43;Fulham
Domingos Quina;19;Midfielder;335;Portugal;1;0;5;32;52;43;Watford
Carl Jenkinson;27;Defender;166;England;0;0;2;32;50;51;Arsenal
Miguel Ángel Britos Cabrera;34;Defender;185;Uruguay;0;0;5;32;50;51;Watford
Konstantinos Mavropanos;21;Defender;150;Greece;0;0;1;32;50;51;Arsenal
Loris Karius;26;Goalkeeper;0;Germany;0;0;0;28;50;45;Liverpool
Tyrone Mings;26;Defender;141;England;0;0;4;32;50;51;AFC Bournemouth
Manolo Gabbiadini;27;Forward;470;Italy;1;0;11;31;53;34;Southampton
Danny Ward;28;Forward;440;England;1;0;11;31;53;33;Cardiff City
Andy Carroll;30;Forward;454;England;0;0;6;31;52;35;West Ham United
Simon Mignolet;31;Goalkeeper;0;Belgium;0;0;0;28;50;45;Liverpool
Samir Nasri;32;Midfielder;246;France;0;2;2;31;53;43;West Ham United
Jacob Murphy;24;Midfielder;300;England;0;1;7;31;52;42;Newcastle United
Nathaniel Chalobah;24;Midfielder;266;England;0;0;5;31;51;42;Watford
Willy Caballero;38;Goalkeeper;180;Argentina;0;0;0;31;50;47;Chelsea
Michel Vorm;36;Goalkeeper;180;Netherlands;0;0;4;31;50;46;Tottenham Hotspur
Fabricio Martín Agosto Ramírez;31;Goalkeeper;180;Spain;0;0;5;31;50;46;Fulham
Mark Travers;20;Goalkeeper;180;Republic of Ireland;0;0;5;31;50;46;AFC Bournemouth
Davide Zappacosta;27;Defender;125;Italy;0;0;0;31;50;51;Chelsea
Jazz Richards;28;Defender;128;Wales;0;0;4;31;50;50;Cardiff City
Marc Navarro Ceciliano;24;Defender;84;Spain;0;0;2;31;50;50;Watford
Ben Gibson;26;Defender;63;England;1;0;3;31;51;50;Burnley
Joshua Sims;22;Midfielder;209;England;0;1;5;30;52;41;Southampton
Carlos Sánchez;33;Midfielder;240;Colombia;0;0;2;30;51;42;West Ham United
Oliver Skipp;19;Midfielder;216;England;0;0;0;30;51;43;Tottenham Hotspur
Vicente Iborra De La Fuente;31;Midfielder;226;Spain;0;0;4;30;51;42;Leicester City
Demeaco Duhaney;21;Defender;46;England;0;0;0;30;50;50;Huddersfield Town
Gary Cahill;33;Defender;22;England;0;0;0;30;50;50;Chelsea
Sebastian Prödl;32;Defender;13;Austria;0;0;0;30;50;50;Watford
Antonio Barreca;24;Defender;4;Italy;0;0;0;30;50;50;Newcastle United
Alfie Jones;22;Defender;0;England;0;0;0;30;50;50;Southampton
Ali Koiki;19;Defender;0;England;0;0;0;30;50;50;Burnley
Anthony Driscoll-Glennon;19;Defender;0;England;0;0;0;30;50;50;Burnley
Ben White;22;Defender;0;England;0;0;0;30;50;50;Brighton & Hove Albion
Cameron John;20;Defender;0;England;0;0;0;30;50;50;Wolverhampton Wanderers
Dan Burn;27;Defender;0;England;0;0;0;30;50;50;Brighton & Hove Albion
Jaïro Riedewald;23;Defender;0;Netherlands;0;0;0;30;50;50;Crystal Palace
James Garner;18;Defender;0;England;0;0;0;30;50;50;Manchester United
Jamie Sterry;23;Defender;0;England;0;0;0;30;50;50;Newcastle United
Josh Knight;22;Defender;0;England;0;0;0;30;50;50;Leicester City
Kortney Hause;24;Defender;0;England;0;0;0;30;50;50;Wolverhampton Wanderers
Lewis Cass;19;Defender;0;England;0;0;0;30;50;50;Newcastle United
Marc Guehi;19;Defender;0;England;0;0;0;30;50;50;Chelsea
Markus Suttner;32;Defender;0;Austria;0;0;0;30;50;50;Brighton & Hove Albion
Matthew Connolly;32;Defender;0;England;0;0;0;30;50;50;Cardiff City
Max Kilman;22;Defender;0;England;0;0;0;30;50;50;Wolverhampton Wanderers
Nikola Tavares;20;Defender;0;England;0;0;0;30;50;50;Crystal Palace
Pape N'Diaye Souaré;29;Defender;0;Senegal;0;0;0;30;50;50;Crystal Palace
Sam Woods;21;Defender;0;England;0;0;0;30;50;50;Crystal Palace
Timothy Eyoma;19;Defender;0;England;0;0;0;30;50;50;Tottenham Hotspur
Tyias Browning;25;Defender;0;England;0;0;0;30;50;50;Everton
Tyreke Johnson;21;Defender;0;England;0;0;0;30;50;50;Southampton
Zechariah Medley;19;Defender;0;England;0;0;0;30;50;50;Arsenal
Zeze  Steven Sessegnon;19;Defender;0;England;0;0;0;30;50;50;Fulham
Ben Wilmot;20;Defender;26;England;0;0;2;30;50;49;Watford
